,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
217,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,20,1999,21.3,1256,1428,88.0,26106,8051,12,29,41.4,927,979,94.7,317,420,75.5,0,1.6,-1.6,16,92,13,5,104,Matches
218,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,8.5,378,416,90.9,7006,1907,5,11,45.5,283,299,94.6,90,106,84.9,0,0.0,0.0,0,21,1,0,16,Matches
219,Oliver Batista-Meier\Oliver-Batista-Meier,de GER,FW,Bayern Munich,de Bundesliga,18,2001,0.1,3,4,75.0,36,0,0,0,,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
220,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,eng Premier League,25,1993,2.7,61,76,80.3,776,85,5,9,55.6,51,61,83.6,5,6,83.3,1,0.2,+0.8,3,1,0,0,1,Matches
221,Cristian Battocchio\Cristian-Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,15.5,667,839,79.5,13788,3727,8,24,33.3,469,536,87.5,190,279,68.1,1,1.2,-0.2,16,54,7,0,81,Matches
222,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,1012,1303,77.7,25497,14467,20,20,100.0,630,633,99.5,362,650,55.7,0,0.1,-0.1,1,12,1,0,1,Matches
223,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,19.9,1030,1141,90.3,17772,3665,28,46,60.9,836,898,93.1,166,197,84.3,2,1.9,+0.1,14,73,10,0,78,Matches
224,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,19,1999,16.6,354,496,71.4,5397,1138,16,44,36.4,282,360,78.3,56,92,60.9,2,2.2,-0.2,17,22,7,1,36,Matches
225,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Augsburg,de Bundesliga,22,1996,4.2,39,71,54.9,629,141,4,20,20.0,31,45,68.9,4,6,66.7,0,0.4,-0.4,4,2,1,1,4,Matches
226,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,de Bundesliga,25,1994,23.4,456,643,70.9,6793,1830,19,55,34.5,387,497,77.9,50,91,54.9,1,3.3,-2.3,31,33,24,10,59,Matches
227,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,23,1996,24.6,899,1042,86.3,18662,6732,13,32,40.6,662,706,93.8,224,304,73.7,1,0.3,+0.7,3,51,2,0,53,Matches
228,Sheraldo Becker\Sheraldo-Becker,nl NED,MFFW,Union Berlin,de Bundesliga,24,1995,6.0,81,133,60.9,1385,607,4,12,33.3,57,86,66.3,20,35,57.1,2,0.8,+1.2,8,2,4,3,15,Matches
229,Timo Becker\Timo-Becker,de GER,DFMF,Schalke 04,de Bundesliga,22,1997,3.7,120,150,80.0,2384,977,3,9,33.3,91,105,86.7,26,36,72.2,0,0.2,-0.2,4,13,3,1,15,Matches
230,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,1143,1434,79.7,23194,7622,12,30,40.0,829,954,86.9,302,450,67.1,1,0.1,+0.9,2,66,2,0,73,Matches
231,Asmir Begović\Asmir-Begovic,ba BIH,GK,Milan,it Serie A,32,1987,1.4,29,36,80.6,744,466,0,0,,16,16,100.0,13,20,65.0,0,0.0,0.0,0,0,0,0,0,Matches
232,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,12.3,369,440,83.9,6278,1579,17,30,56.7,287,326,88.0,65,84,77.4,0,0.0,0.0,0,30,7,1,31,Matches
233,Maximilian Beier\Maximilian-Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,1.2,15,22,68.2,199,30,1,3,33.3,13,17,76.5,1,2,50.0,0,0.1,-0.1,1,0,0,0,0,Matches
