,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
697,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,30.7,755,948,79.6,15502,5630,17,39,43.6,517,588,87.9,221,321,68.8,1,0.8,+0.2,4,51,2,0,44,Matches
698,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,33,1986,25.0,593,806,73.6,12207,3138,3,21,14.3,431,541,79.7,159,244,65.2,0,0.5,-0.5,14,83,4,0,86,Matches
699,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,1.3,39,51,76.5,713,213,1,2,50.0,31,38,81.6,7,11,63.6,0,0.1,-0.1,1,2,1,0,5,Matches
700,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,1237,1441,85.8,29035,8765,5,14,35.7,739,805,91.8,493,622,79.3,0,0.5,-0.5,4,80,10,0,96,Matches
701,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,19,2000,7.3,380,432,88.0,8295,2347,5,10,50.0,244,265,92.1,131,157,83.4,0,0.0,0.0,0,15,2,0,15,Matches
702,Djené\Djene,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,684,934,73.2,16425,5788,12,25,48.0,397,482,82.4,275,427,64.4,0,0.4,-0.4,6,70,4,2,86,Matches
703,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,eng Premier League,21,1998,10.3,191,264,72.3,2736,894,8,21,38.1,166,205,81.0,17,38,44.7,2,1.3,+0.7,13,11,15,2,33,Matches
704,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,26,1992,9.5,346,395,87.6,7235,2218,2,3,66.7,246,264,93.2,98,128,76.6,0,0.1,-0.1,2,13,0,0,14,Matches
705,Alexander Djiku\Alexander-Djiku,fr FRA,DFMF,Strasbourg,fr Ligue 1,24,1994,22.9,1066,1198,89.0,23935,7813,6,13,46.2,702,759,92.5,358,426,84.0,1,0.5,+0.5,5,66,3,1,77,Matches
706,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,26,1993,30.9,1612,1834,87.9,29383,9041,17,39,43.6,1297,1401,92.6,298,394,75.6,1,0.5,+0.5,10,85,5,0,91,Matches
707,Naïs Djouahra\Nais-Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,1999,0.3,15,23,65.2,232,79,1,1,100.0,12,18,66.7,2,4,50.0,1,0.2,+0.8,2,1,1,1,2,Matches
708,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,27,1992,35.0,479,1062,45.1,24007,19172,1,1,100.0,117,120,97.5,361,941,38.4,0,0.0,0.0,1,62,2,0,1,Matches
709,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,eng Premier League,27,1992,31.5,1369,1793,76.4,22390,9051,33,86,38.4,1133,1380,82.1,203,327,62.1,3,1.7,+1.3,23,86,18,9,239,Matches
710,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,1997,21.0,232,301,77.1,3534,243,8,25,32.0,193,238,81.1,31,38,81.6,3,1.1,+1.9,7,3,4,0,6,Matches
711,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,1993,1.6,57,75,76.0,888,207,1,5,20.0,50,57,87.7,6,13,46.2,0,0.1,-0.1,4,8,2,1,8,Matches
712,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,28,1990,14.7,300,457,65.6,10025,7221,3,3,100.0,140,140,100.0,157,314,50.0,0,0.0,0.0,0,3,0,0,0,Matches
713,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,21,1998,7.8,349,413,84.5,6736,1703,14,22,63.6,251,277,90.6,84,114,73.7,1,0.9,+0.1,12,34,9,0,41,Matches
714,Giulio Donati\Giulio-Donati,it ITA,DF,Lecce,it Serie A,29,1990,19.6,853,997,85.6,16159,6217,13,31,41.9,652,710,91.8,188,256,73.4,0,1.7,-1.7,24,62,27,18,114,Matches
715,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,28,1991,1.1,14,23,60.9,184,35,1,2,50.0,12,17,70.6,1,4,25.0,0,0.0,0.0,0,0,0,0,1,Matches
716,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Reims,fr Ligue 1,22,1996,6.8,75,133,56.4,1233,161,4,18,22.2,55,80,68.8,16,35,45.7,0,0.3,-0.3,6,0,1,1,4,Matches
717,Alfredo Donnarumma\Alfredo-Donnarumma,it ITA,FW,Brescia,it Serie A,28,1990,18.7,307,445,69.0,4792,1114,14,45,31.1,254,337,75.4,39,63,61.9,2,1.1,+0.9,16,26,15,1,41,Matches
718,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,20,1999,35.6,872,1142,76.4,25434,15769,3,5,60.0,463,466,99.4,406,671,60.5,0,0.0,0.0,0,5,0,0,1,Matches
719,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,21,1997,23.2,1228,1457,84.3,26925,8971,8,19,42.1,833,903,92.2,387,535,72.3,0,0.1,-0.1,3,111,2,0,100,Matches
720,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,MFFW,Toulouse,fr Ligue 1,31,1988,19.5,463,735,63.0,8146,2709,16,67,23.9,352,455,77.4,95,213,44.6,2,4.6,-2.6,48,25,27,15,100,Matches
721,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,30,1989,16.4,273,461,59.2,4417,978,10,30,33.3,217,353,61.5,46,78,59.0,2,1.4,+0.6,18,33,6,0,34,Matches
722,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,26,1993,35.1,1302,1658,78.5,21942,4818,44,112,39.3,1029,1240,83.0,229,306,74.8,2,2.6,-0.6,33,119,31,4,110,Matches
723,Mamadou Doucouré\Mamadou-Doucoure,fr FRA,MF,M'gladbach,de Bundesliga,21,1998,0.0,9,9,100.0,160,4,0,0,,7,7,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
724,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,24,1994,19.1,532,681,78.1,8993,1971,20,45,44.4,417,498,83.7,95,138,68.8,1,1.9,-0.9,25,37,18,3,67,Matches
725,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22,1996,1.0,38,48,79.2,681,246,1,2,50.0,29,36,80.6,8,10,80.0,0,0.1,-0.1,1,3,0,0,5,Matches
726,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,22,1996,5.0,233,303,76.9,3665,1704,3,12,25.0,201,230,87.4,29,61,47.5,1,0.3,+0.7,4,13,4,1,36,Matches
727,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,eng Premier League,17,2001,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
728,Mohamed Dräger\Mohamed-Drager,tn TUN,DF,Paderborn 07,de Bundesliga,23,1996,16.2,629,817,77.0,12640,4190,14,54,25.9,455,546,83.3,160,217,73.7,3,0.8,+2.2,12,29,13,3,115,Matches
729,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,28,1991,11.4,849,936,90.7,18484,5673,5,14,35.7,576,615,93.7,268,307,87.3,0,0.1,-0.1,1,71,3,0,60,Matches
730,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,21,1997,31.0,647,904,71.6,18757,11372,8,10,80.0,325,327,99.4,314,567,55.4,0,0.0,0.0,0,6,0,0,0,Matches
731,Julian Draxler\Julian-Draxler,de GER,MF,Paris S-G,fr Ligue 1,25,1993,7.6,431,485,88.9,7215,1648,6,13,46.2,357,389,91.8,68,83,81.9,4,2.0,+2.0,11,34,19,2,51,Matches
732,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,29,1990,17.6,486,664,73.2,8604,2825,11,39,28.2,380,465,81.7,95,160,59.4,4,3.4,+0.6,27,34,32,11,85,Matches
733,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,eng Premier League,29,1990,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches
734,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,eng Premier League,29,1990,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches
735,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,eng Premier League,26,1992,7.2,125,164,76.2,1674,187,7,14,50.0,107,125,85.6,11,25,44.0,0,0.5,-0.5,3,5,0,0,5,Matches
736,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,24,1995,34.3,970,1218,79.6,23651,7528,5,16,31.3,564,637,88.5,401,565,71.0,1,0.1,+0.9,2,67,5,1,101,Matches
737,Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,23,1996,4.5,172,195,88.2,3767,952,3,8,37.5,110,120,91.7,59,67,88.1,0,0.0,0.0,0,3,0,0,7,Matches
738,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,30,1989,5.4,190,221,86.0,4634,1633,0,0,,106,116,91.4,84,105,80.0,0,0.0,0.0,0,5,0,0,7,Matches
739,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,23,1995,29.6,933,1310,71.2,17336,8840,14,44,31.8,745,901,82.7,174,365,47.7,1,1.0,0.0,11,91,16,8,173,Matches
740,Edgaras Dubickas\Edgaras-Dubickas,lt LTU,DF,Lecce,it Serie A,21,1998,0.0,1,2,50.0,31,7,0,0,,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
741,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,24,1994,15.0,772,966,79.9,14476,5564,10,28,35.7,611,701,87.2,151,237,63.7,0,1.6,-1.6,14,48,13,6,113,Matches
742,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,30,1989,38.0,595,1093,54.4,25708,19289,3,5,60.0,176,182,96.7,416,906,45.9,0,0.0,0.0,0,19,0,0,2,Matches
743,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,eng Premier League,24,1994,8.0,298,382,78.0,4770,1184,14,27,51.9,239,271,88.2,45,84,53.6,0,1.0,-1.0,14,17,10,2,37,Matches
744,Ondrej Duda\Ondrej-Duda,sk SVK,MFFW,Hertha BSC,de Bundesliga,24,1994,5.0,152,192,79.2,2576,632,4,13,30.8,121,134,90.3,27,45,60.0,1,0.5,+0.5,6,18,4,0,20,Matches
745,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,27,1992,13.8,515,613,84.0,12117,3501,5,11,45.5,311,349,89.1,199,253,78.7,0,0.0,0.0,1,26,4,0,24,Matches
746,Haris Duljević\Haris-Duljevic,ba BIH,FWMF,Nîmes,fr Ligue 1,25,1993,5.8,116,161,72.0,1810,370,4,8,50.0,100,125,80.0,12,28,42.9,3,1.4,+1.6,12,4,8,2,13,Matches
747,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27,1991,13.6,358,502,71.3,6793,3372,3,14,21.4,283,330,85.8,72,158,45.6,0,0.1,-0.1,4,46,4,3,48,Matches
748,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Fiorentina,it Serie A,26,1993,9.9,346,411,84.2,6543,1695,9,24,37.5,256,281,91.1,81,106,76.4,1,0.6,+0.4,7,30,16,1,52,Matches
749,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Sassuolo,it Serie A,26,1993,9.4,382,469,81.4,6439,1818,4,13,30.8,314,367,85.6,64,89,71.9,5,0.9,+4.1,12,28,14,1,45,Matches
750,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,35.9,1912,2191,87.3,45025,13465,11,22,50.0,1214,1292,94.0,687,877,78.3,3,1.1,+1.9,11,129,5,0,97,Matches
751,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27,1992,5.7,156,245,63.7,2751,1145,5,21,23.8,126,162,77.8,25,62,40.3,0,0.1,-0.1,3,5,4,0,37,Matches
752,Riza Durmisi\Riza-Durmisi,dk DEN,DF,Nice,fr Ligue 1,25,1994,1.8,81,100,81.0,1496,264,1,2,50.0,65,68,95.6,15,30,50.0,0,0.0,0.0,0,0,1,1,8,Matches
753,Hugo Duro\Hugo-Duro,es ESP,FWMF,Getafe,es La Liga,19,1999,4.2,50,84,59.5,593,149,9,13,69.2,38,61,62.3,3,10,30.0,1,0.3,+0.7,3,4,1,0,3,Matches
754,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,22,1997,13.1,728,849,85.7,16465,4531,4,13,30.8,459,500,91.8,265,336,78.9,0,0.2,-0.2,2,49,2,0,52,Matches
755,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,it Serie A,25,1993,23.9,1274,1528,83.4,21489,5076,35,67,52.2,1018,1139,89.4,221,322,68.6,6,6.6,-0.6,69,95,54,10,151,Matches
756,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,33,1986,31.7,565,813,69.5,10536,2014,18,58,31.0,416,568,73.2,131,187,70.1,7,4.9,+2.1,50,62,27,4,71,Matches
757,Blerim Džemaili\Blerim-Dzemaili,ch SUI,MF,Bologna,it Serie A,33,1986,7.8,286,347,82.4,5708,1508,11,20,55.0,201,233,86.3,74,94,78.7,1,1.4,-0.4,20,34,12,0,38,Matches
758,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,31,1988,28.0,1143,1309,87.3,27068,9269,5,16,31.3,699,757,92.3,439,536,81.9,0,0.1,-0.1,4,42,3,0,63,Matches
759,Simone Edera\Simone-Edera,it ITA,MFFW,Torino,it Serie A,22,1997,4.4,102,130,78.5,1919,500,6,14,42.9,74,90,82.2,22,26,84.6,1,0.4,+0.6,6,6,4,0,15,Matches
760,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,25,1993,34.1,927,1063,87.2,23484,13255,1,1,100.0,579,584,99.1,347,478,72.6,0,0.1,-0.1,1,11,0,0,0,Matches
761,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26,1992,35.4,1017,1212,83.9,24161,6506,10,20,50.0,603,671,89.9,404,521,77.5,0,0.1,-0.1,1,67,2,0,73,Matches
762,Johannes Eggestein\Johannes-Eggestein,de GER,MFFW,Werder Bremen,de Bundesliga,21,1998,5.7,145,203,71.4,2061,498,3,18,16.7,131,156,84.0,11,29,37.9,0,0.6,-0.6,6,5,3,0,12,Matches
763,Maximilian Eggestein\Maximilian-Eggestein,de GER,MFDF,Werder Bremen,de Bundesliga,22,1996,31.7,1151,1483,77.6,20371,6443,25,86,29.1,908,1083,83.8,218,314,69.4,3,1.7,+1.3,29,126,36,5,190,Matches
764,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,24,1995,25.9,850,1137,74.8,16175,6528,10,45,22.2,634,763,83.1,206,329,62.6,1,1.2,-0.2,17,44,20,9,134,Matches
765,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,30,1989,26.5,1012,1161,87.2,18005,4955,32,49,65.3,778,870,89.4,202,242,83.5,2,1.0,+1.0,23,102,22,1,110,Matches
766,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,eng Premier League,16,2003,0.1,12,15,80.0,204,79,0,0,,10,11,90.9,2,4,50.0,0,0.0,0.0,0,2,1,1,4,Matches
767,Elif Elmas\Elif-Elmas,mk MKD,MF,Napoli,it Serie A,19,1999,12.6,623,685,90.9,9225,1613,16,25,64.0,546,588,92.9,61,72,84.7,1,0.9,+0.1,15,31,7,0,29,Matches
768,Ilay Elmkies\Ilay-Elmkies,il ISR,MF,Hoffenheim,de Bundesliga,19,2000,0.0,4,4,100.0,37,5,0,0,,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
769,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31,1987,11.5,484,633,76.5,9323,3709,6,22,27.3,376,430,87.4,102,181,56.4,1,2.6,-1.6,19,42,22,16,78,Matches
770,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,25,1994,16.8,802,935,85.8,17054,4653,2,14,14.3,571,632,90.3,229,289,79.2,1,0.2,+0.8,3,55,3,3,62,Matches
771,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,1605,1740,92.2,33611,7652,15,33,45.5,1090,1168,93.3,500,539,92.8,0,0.1,-0.1,1,38,0,0,57,Matches
772,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,667,839,79.5,16672,5747,4,15,26.7,380,426,89.2,283,398,71.1,0,0.1,-0.1,1,27,0,0,37,Matches
773,Adri Embarba\Adri-Embarba,es ESP,MFFW,Espanyol,es La Liga,27,1992,15.2,246,442,55.7,4591,1268,9,35,25.7,181,243,74.5,56,164,34.1,4,1.8,+2.2,18,17,16,7,40,Matches
774,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,de Bundesliga,22,1997,17.2,294,390,75.4,4508,922,10,34,29.4,249,304,81.9,35,52,67.3,5,4.8,+0.2,20,24,11,1,31,Matches
775,Emerson\Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,1287,1601,80.4,21598,7374,37,113,32.7,1044,1186,88.0,206,302,68.2,6,4.1,+1.9,30,56,50,21,147,Matches
776,Renaud Emond\Renaud-Emond,be BEL,FWMF,Nantes,fr Ligue 1,27,1991,3.2,53,78,67.9,898,186,1,7,14.3,44,57,77.2,8,14,57.1,0,0.0,0.0,2,4,0,0,3,Matches
777,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,395,466,84.8,7715,3136,7,18,38.9,301,332,90.7,87,116,75.0,0,0.0,0.0,1,28,2,0,26,Matches
778,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,163,266,61.3,2478,501,8,25,32.0,131,196,66.8,24,45,53.3,2,0.8,+1.2,7,3,10,3,16,Matches
779,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,103,157,65.6,1562,226,2,13,15.4,90,125,72.0,11,19,57.9,0,0.2,-0.2,4,4,1,0,6,Matches
780,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,503,605,83.1,11925,3869,3,7,42.9,300,340,88.2,200,258,77.5,0,0.1,-0.1,1,46,1,1,38,Matches
781,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,377,527,71.5,5236,727,19,46,41.3,320,422,75.8,38,59,64.4,4,1.4,+2.6,8,16,6,0,16,Matches
782,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,29,1990,9.1,215,280,76.8,3355,667,9,18,50.0,177,211,83.9,29,51,56.9,0,0.6,-0.6,8,8,5,3,20,Matches
783,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,27,1992,12.2,549,743,73.9,10139,2773,7,19,36.8,419,499,84.0,123,225,54.7,2,1.9,+0.1,23,58,21,1,76,Matches
784,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,358,473,75.7,6648,1707,12,23,52.2,263,300,87.7,83,150,55.3,2,3.1,-1.1,24,39,7,2,56,Matches
785,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,474,657,72.1,8866,2443,6,30,20.0,365,455,80.2,103,172,59.9,1,0.7,+0.3,8,49,11,2,69,Matches
786,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,77,128,60.2,2885,2005,0,0,,33,33,100.0,44,95,46.3,0,0.0,0.0,0,6,0,0,0,Matches
787,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,475,592,80.2,8427,3453,8,18,44.4,407,460,88.5,60,114,52.6,0,0.5,-0.5,6,31,9,4,57,Matches
788,Espeto\Espeto,br BRA,DFMF,SPAL,it Serie A,22,1997,23.4,680,870,78.2,10971,3508,17,50,34.0,563,650,86.6,100,170,58.8,2,1.2,+0.8,24,36,24,8,70,Matches
789,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,826,1060,77.9,19342,6385,6,16,37.5,479,564,84.9,341,480,71.0,0,0.5,-0.5,4,29,1,0,55,Matches
790,Sebastiano Esposito\Sebastiano-Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,41,62,66.1,717,189,2,4,50.0,32,44,72.7,7,14,50.0,0,0.1,-0.1,3,3,3,0,6,Matches
791,Esquerdo\Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,6,9,66.7,122,56,0,1,0.0,4,5,80.0,2,3,66.7,0,0.0,0.0,0,0,0,0,1,Matches
792,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,29,1990,2.4,59,93,63.4,1025,324,1,7,14.3,50,63,79.4,8,23,34.8,0,1.0,-1.0,3,6,1,0,12,Matches
793,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,1322,1823,72.5,23432,10524,21,100,21.0,1072,1267,84.6,229,456,50.2,5,3.6,+1.4,44,100,57,37,243,Matches
794,Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,135,213,63.4,2516,711,3,14,21.4,103,137,75.2,29,62,46.8,0,0.2,-0.2,2,16,2,0,24,Matches
795,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,161,194,83.0,3422,954,3,5,60.0,115,125,92.0,43,64,67.2,0,0.5,-0.5,11,13,2,0,23,Matches
796,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,209,368,56.8,5358,1957,2,11,18.2,107,174,61.5,100,183,54.6,0,0.0,0.0,1,18,1,1,32,Matches
797,Antony Evans\Antony-Evans,eng ENG,MFDF,Paderborn 07,de Bundesliga,20,1998,1.7,39,71,54.9,931,489,1,3,33.3,26,41,63.4,12,27,44.4,0,0.6,-0.6,6,4,3,2,15,Matches
798,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,2088,2372,88.0,47140,13760,6,14,42.9,1357,1461,92.9,725,897,80.8,1,0.6,+0.4,7,144,5,1,126,Matches
799,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,759,933,81.4,14891,3121,8,26,30.8,557,650,85.7,194,257,75.5,1,1.3,-0.3,19,82,14,3,70,Matches
800,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Hellas Verona,it Serie A,27,1992,3.9,116,147,78.9,2035,498,2,8,25.0,91,109,83.5,23,30,76.7,0,0.7,-0.7,12,6,9,2,19,Matches
801,Valentin Eysseric\Valentin-Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,16,24,66.7,312,73,1,3,33.3,9,11,81.8,6,10,60.0,0,0.0,0.0,0,4,0,0,2,Matches
802,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,378,672,56.3,17199,13323,1,3,33.3,82,83,98.8,295,586,50.3,0,0.0,0.0,0,7,0,0,0,Matches
803,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,1334,1528,87.3,27065,5338,19,35,54.3,962,1056,91.1,353,437,80.8,3,1.8,+1.2,18,129,21,2,101,Matches
804,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,424,521,81.4,6906,3177,12,27,44.4,357,408,87.5,55,86,64.0,0,0.3,-0.3,6,28,7,3,57,Matches
805,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,623,761,81.9,11812,4211,14,26,53.8,481,538,89.4,128,197,65.0,3,2.3,+0.7,23,79,22,3,127,Matches
806,Fabricio\Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,24,33,72.7,874,593,0,0,,6,6,100.0,18,27,66.7,0,0.0,0.0,0,0,0,0,0,Matches
807,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,7,10,70.0,129,81,0,0,,5,5,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
808,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,120,192,62.5,2963,914,1,6,16.7,70,90,77.8,49,96,51.0,0,0.5,-0.5,9,22,3,2,26,Matches
809,Luca Falbo\Luca-Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,1,2,50.0,35,0,0,0,,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
810,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,22.4,812,1012,80.2,14138,3776,15,49,30.6,651,725,89.8,146,238,61.3,6,4.3,+1.7,51,53,49,22,132,Matches
811,Eliseo Falcon\Eliseo-Falcon,es ESP,DFMF,Levante,es La Liga,22,1997,0.8,22,24,91.7,470,135,0,0,,16,16,100.0,6,8,75.0,0,0.0,0.0,0,2,0,0,2,Matches
812,Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,2.0,39,61,63.9,969,567,0,0,,28,28,100.0,11,33,33.3,0,0.0,0.0,0,0,0,0,0,Matches
813,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,46,57,80.7,1198,452,1,2,50.0,23,25,92.0,22,30,73.3,0,0.0,0.0,1,5,0,0,3,Matches
814,Iago Falque\Iago-Falque,es ESP,MFFW,Torino,it Serie A,29,1990,1.1,54,64,84.4,975,161,2,6,33.3,41,42,97.6,11,16,68.8,0,0.1,-0.1,1,1,2,0,4,Matches
815,Iago Falque\Iago-Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,245,313,78.3,4441,945,11,24,45.8,181,202,89.6,53,87,60.9,1,0.9,+0.1,10,21,10,1,35,Matches
816,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
